group_id,timepoint,sample_type,pair,correlation,rmse,mae,relative_rmse,n_valid_points,sample1_filename,sample2_filename,sample1_crop,sample2_crop,sample1_run_date,sample2_run_date,sample1_notes,sample2_notes,similarity_category,investigation_priority
94,wk10,root,1 vs 2,0.23513222901223577,0.02945937985637125,0.023029932118613792,5.750711314958366,2799,13C_root_soybean_pot94_10wk.dpt,13C_root_soybean_pot94_10wk.dpt,soy,soy,12/5/24,12/9/24,None,None,Poor,High - Poor reproducibility
62,wk0,root,1 vs 2,0.24122959021851323,0.04507011654714706,0.03233046087888532,5.689796049587313,2799,13C_root_soybean_pot62_0wk.dpt,13C_root_soybean_pot62_0wk.dpt,soy,soy,12/5/24,12/9/24,None,None,Poor,High - Poor reproducibility
80,wk10,soil,1 vs 2,0.2743019316693995,0.05051100442112884,0.03554953197570561,6.025454545152865,2799,13C_soil_wheat_pot80_10wk.dpt,13C_soil_soybean_pot80_10wk.dpt,wheat,soy,12/5/24,12/9/24,None,None,Poor,High - Poor reproducibility
94,wk10,soil,1 vs 2,0.725694616734914,0.048508221308846744,0.034225551982851016,2.1082301384047706,2799,13C_soil_soybean_pot94_10wk.dpt,13C_soil_soybean_pot94_10wk.dpt,soy,soy,12/5/24,12/9/24,None,None,Poor,High - Poor reproducibility
79,wk0,soil,1 vs 2,0.744593745197055,0.02802326183155497,0.02137202929617721,1.3293520765751679,2799,13C_soil_rice_pot79_0wk.dpt,13C_soil_rice_pot79_0wk.dpt,rice,rice,12/5/24,12/9/24,None,None,Poor,High - Poor reproducibility
28,wk0,soil,1 vs 2,0.983599470562242,0.024641474167035694,0.015608335119685603,1.056994988209755,2799,13C_soil_wheat_pot28_0wk.dpt,13C_soil_soybean_pot28_0wk.dpt,wheat,soy,12/5/24,12/9/24,None,None,Very Good,High - Crop type mismatch
62,wk0,soil,1 vs 2,0.8345849190689488,0.03468828751276229,0.024766084315827084,0.9903010512455183,2799,13C_soil_soybean_pot62_0wk.dpt,13C_soil_soybean_pot62_0wk.dpt,soy,soy,12/5/24,12/9/24,None,None,Moderate,Medium - Moderate reproducibility
119,wk10,soil,1 vs 3,0.8516388204848867,0.024346697754899272,0.01933489460521615,1.145255305252059,2799,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot119_10wk.dpt,rice,rice,12/5/24,12/9/24,None,None,Moderate,Medium - Moderate reproducibility
119,wk10,soil,2 vs 3,0.8516388204848867,0.024346697754899272,0.01933489460521615,1.145255305252059,2799,13C_soil_rice_pot119.dpt,13C_soil_rice_pot119_10wk.dpt,rice,rice,12/5/24,12/9/24,None,None,Moderate,Medium - Moderate reproducibility
87,wk10,soil,1 vs 2,0.8706529788149637,0.02389414532953499,0.018426405859235443,0.9116874978299064,2799,13C_soil_rice_pot87_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,rice,rice,12/5/24,12/9/24,None,None,Moderate,Medium - Moderate reproducibility
50,wk0,soil,1 vs 2,0.9720696342797384,0.0169981199336582,0.010900660950339407,0.7967172898854926,2799,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot50_0wk.dpt,soy,soy,12/5/24,12/9/24,None,None,Very Good,Low - Good reproducibility
103,wk0,soil,1 vs 2,1.0,0.0,0.0,0.0,2799,13C_soil_rice_pot103_0wk.dpt,13C_soil_rice_pot103.dpt,rice,rice,12/5/24,12/5/24,None,None,Excellent,Low - Perfect match (possible duplicate files)
119,wk10,soil,1 vs 2,1.0,0.0,0.0,0.0,2799,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot119.dpt,rice,rice,12/5/24,12/5/24,None,None,Excellent,Low - Perfect match (possible duplicate files)
72,wk0,soil,1 vs 2,1.0,0.0,0.0,0.0,2799,12C_soil_noplant_pot72_256scans.dpt,13C_soil_noplant_pot72_0wk.dpt,noPlant,noPlant,12/5/24,12/9/24,256scans,None,Excellent,Low - Perfect match (possible duplicate files)
